provider,product,country_iso3,status,evidence_type,source_url,source_update_note,retrieved_at,note
OpenAI,ChatGPT web and mobile,AGO,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,BDI,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,BEN,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,BFA,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,BWA,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,CAF,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,CIV,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,CMR,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,COD,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,COG,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
OpenAI,ChatGPT web and mobile,COM,listed_supported,official_supported_region_list,https://help.openai.com/en/articles/7947663-chatgpt-supported-countries,Updated last month; exact date not shown,2026-09-25,"Official supported-country list includes this country. Geographic listing does not verify an account, feature tier, local payment method, or uptime."
